source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pm,pmra,pmra_error,pmdec,pmdec_error,pmra_pmdec_corr,ruwe,phot_g_mean_flux_error,phot_g_mean_flux_over_error,phot_g_mean_mag,phot_bp_mean_flux_error,phot_bp_mean_flux_over_error,phot_bp_mean_mag,phot_rp_mean_flux_error,phot_rp_mean_flux_over_error,phot_rp_mean_mag,bp_rp,radial_velocity,has_xp_sampled,has_mcmc_msc,teff_gspphot,ag_gspphot,target_id,target_ra,target_dec,target_parallax,target_pm_ra,target_pm_dec,target_radial_velocity,epoch,target_separation (deg)
2932994550396102784,102.43603444238583,0.13097687,-20.37412338371382,0.17905478,1.53293259698231,0.22891685,6.6754484,1.6067095483886722,0.17328523,6.479204965909995,0.23051661,-0.28107756,1.0168787,0.9718021,435.96576,19.119791,5.5833178,19.018154,20.27339,7.4286757,60.583927,18.114723,2.1586666,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9305266939717132
2926789868837136000,101.51974284641871,0.44478863,-21.64964656529476,0.70421594,1.58059294373399,0.93146664,3.033649,-2.9561336469907333,0.5050655,0.6813959037430914,0.8162069,-0.20584998,1.0016216,0.64462435,148.73541,20.733065,4.9603214,10.393313,21.057882,5.420738,16.188244,19.88975,1.1681328,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9310522933521962
2927290352783622016,100.74891372079296,0.51860833,-20.123262084625797,0.8041736,1.5630540249113216,1.1278322,3.4050846,-0.5726635618691277,0.59003925,-3.356584113628513,0.9596037,0.1660971,1.1118898,0.67865634,138.99052,20.750778,5.3717794,6.4526987,21.488894,4.59752,25.535515,19.573725,1.9151688,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9311583114257583
2926789868842345728,101.51519535422136,0.2587059,-21.64980964607481,0.36506376,1.5574462327574974,0.5289578,9.364598,-2.1624153161279795,0.29936767,9.111512660912311,0.41488206,0.0098591875,1.0087541,0.5107535,285.27792,20.278667,3.5615165,12.340329,21.231138,5.275223,31.583214,19.193653,2.0374851,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9311959690947912
2932988812312090368,102.46768106886945,0.18302049,-20.4567652279112,0.23973413,1.5647384479542275,0.2832015,14.295268,9.644272077901684,0.21927898,-10.551905300778524,0.29004815,-0.5777681,1.0766171,1.1356579,403.6235,19.034307,,,,,,,,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9313690950154696
2926804536148327296,101.22107308870036,0.084325604,-21.609592664893142,0.123817,1.5569034390671912,0.16185828,0.5272996,0.4697108226515623,0.09354597,-0.23961753390170992,0.13190928,0.093659215,0.9807183,0.9166901,674.13354,18.709946,6.7230496,17.020943,20.192167,5.934278,120.882614,17.608566,2.583601,,false,false,3407.2495,0.4281,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9316107638743439
2926203240727538176,102.46121490548487,0.39275438,-21.007784533015855,0.6213584,1.6609696759164725,0.7928589,2.925386,0.15902044246706482,0.49564987,2.9210607700715716,0.73946583,0.31913418,1.0823427,0.62671256,186.00995,20.520855,4.683135,9.329678,21.237534,5.036866,18.223005,19.840944,1.3965893,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9321232346206859
2927323265117448320,101.04024297571935,0.14577973,-19.89785761737623,0.21624355,1.5275525733223945,0.2568557,13.95343,7.494138510367707,0.19581594,-11.770136034987349,0.2823167,-0.4841544,1.0972668,0.906026,512.09283,19.021143,7.8311143,12.412236,20.369358,8.564879,63.172344,17.914774,2.4545841,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.932809177884706
2926173248970466560,102.34110596343838,0.213605,-21.24070436787226,0.3061421,1.629254625599578,0.40819663,8.229453,2.526309065137986,0.22360069,-7.832091645057005,0.3545592,0.23355107,1.0426891,0.54686266,360.92914,19.949116,3.9180174,11.313359,21.221897,4.2634,57.48948,18.774534,2.447363,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9330412604195156
2932987266124518528,102.49029751909093,0.6826058,-20.533286279693744,1.2583569,1.5372231526310616,1.5225304,1.1867919,-0.9329903853627503,1.1165893,0.7334874867156682,1.8185947,-0.5467287,1.0189289,0.87933624,106.12875,20.762396,12.963279,5.120529,20.783468,10.214423,7.6045184,20.022182,0.7612858,,false,false,,,NGC 2287,101.51292,-20.71861,1.36,-4.339,-1.381,23.37,2000,0.9333304131749958
